Sample in Buffer	Sample in Window	ADC4_D
0	0	-2920	
1	1	-1998	
2	2	-1492	
3	3	-626	
4	4	1161	
5	5	1716	
6	6	822	
7	7	974	
8	8	899	
9	9	1460	
10	10	811	
11	11	-1241	
12	12	-1573	
13	13	1798	
14	14	2292	
15	15	663	
16	16	336	
17	17	1109	
18	18	3272	
19	19	1586	
20	20	1637	
21	21	305	
22	22	-89	
23	23	-145	
24	24	-576	
25	25	121	
26	26	-529	
27	27	1021	
28	28	1970	
29	29	2096	
30	30	2128	
31	31	-385	
32	32	-1063	
33	33	-2778	
34	34	-1836	
35	35	-1721	
36	36	-3221	
37	37	-2636	
38	38	-2437	
39	39	-2881	
40	40	-1954	
41	41	-1306	
42	42	-2010	
43	43	-239	
44	44	-931	
45	45	1255	
46	46	744	
47	47	120	
48	48	1114	
49	49	411	
50	50	701	
51	51	865	
52	52	120	
53	53	-474	
54	54	503	
55	55	673	
56	56	1339	
57	57	952	
58	58	191	
59	59	-442	
60	60	190	
61	61	81	
62	62	690	
63	63	1794	
64	64	1222	
65	65	2021	
66	66	755	
67	67	-75	
68	68	626	
69	69	857	
70	70	1406	
71	71	1898	
72	72	774	
73	73	-189	
74	74	-1186	
75	75	-1048	
76	76	-1668	
77	77	-1387	
78	78	1853	
79	79	1344	
80	80	-512	
81	81	-1057	
82	82	-766	
83	83	-2333	
84	84	-1085	
85	85	1017	
86	86	2615	
87	87	3902	
88	88	1918	
89	89	1754	
90	90	1229	
91	91	-1228	
92	92	-2164	
93	93	-1910	
94	94	-3198	
95	95	-3414	
96	96	-825	
97	97	-795	
98	98	-1993	
99	99	-638	
100	100	-701	
101	101	-656	
102	102	-830	
103	103	-3299	
104	104	-2551	
105	105	-300	
106	106	-821	
107	107	45	
108	108	977	
109	109	71	
110	110	-745	
111	111	-358	
112	112	494	
113	113	1709	
114	114	1773	
115	115	1330	
116	116	1481	
117	117	1980	
118	118	4863	
119	119	4749	
120	120	1755	
121	121	1779	
122	122	-1107	
123	123	-2462	
124	124	-1196	
125	125	-932	
126	126	-1922	
127	127	-3723	
128	128	-2375	
129	129	-3155	
130	130	-2123	
131	131	2611	
132	132	3064	
133	133	2655	
134	134	2524	
135	135	1990	
136	136	2842	
137	137	2952	
138	138	2254	
139	139	806	
140	140	-132	
141	141	520	
142	142	792	
143	143	1	
144	144	1270	
145	145	1091	
146	146	-2172	
147	147	-2029	
148	148	-1388	
149	149	-1490	
150	150	-531	
151	151	-1566	
152	152	-1566	
153	153	554	
154	154	-763	
155	155	-2271	
156	156	-1700	
157	157	-2416	
158	158	-3797	
159	159	-2901	
160	160	-1569	
161	161	-2362	
162	162	-230	
163	163	2544	
164	164	3151	
165	165	3451	
166	166	1108	
167	167	800	
168	168	-102	
169	169	-1982	
170	170	-1375	
171	171	1302	
172	172	1329	
173	173	-272	
174	174	368	
175	175	-1074	
176	176	-1419	
177	177	-1632	
178	178	-526	
179	179	582	
180	180	915	
181	181	1320	
182	182	661	
183	183	-307	
184	184	737	
185	185	695	
186	186	1113	
187	187	2086	
188	188	1218	
189	189	1687	
190	190	613	
191	191	-217	
192	192	-201	
193	193	452	
194	194	839	
195	195	1183	
196	196	627	
197	197	-206	
198	198	456	
199	199	408	
200	200	42	
201	201	477	
202	202	475	
203	203	-369	
204	204	1716	
205	205	848	
206	206	936	
207	207	544	
208	208	-357	
209	209	416	
210	210	-1318	
211	211	-1193	
212	212	-1674	
213	213	-2812	
214	214	-2698	
215	215	-1295	
216	216	-2981	
217	217	-3021	
218	218	-3746	
219	219	-2702	
220	220	-575	
221	221	203	
222	222	1942	
223	223	1142	
224	224	1224	
225	225	943	
226	226	220	
227	227	393	
228	228	-1034	
229	229	-434	
230	230	-736	
231	231	1185	
232	232	2833	
233	233	924	
234	234	545	
235	235	780	
236	236	3566	
237	237	2250	
238	238	-192	
239	239	-205	
240	240	502	
241	241	483	
242	242	431	
243	243	209	
244	244	534	
245	245	2119	
246	246	1787	
247	247	1228	
248	248	1074	
249	249	59	
250	250	-682	
251	251	-1831	
252	252	-2083	
253	253	-1057	
254	254	-1362	
255	255	184	
256	256	-230	
257	257	-195	
258	258	290	
259	259	-871	
260	260	-2300	
261	261	-1646	
262	262	-93	
263	263	1100	
264	264	613	
265	265	592	
266	266	32	
267	267	-679	
268	268	660	
269	269	169	
270	270	1064	
271	271	2537	
272	272	3386	
273	273	1369	
274	274	1336	
275	275	103	
276	276	-152	
277	277	828	
278	278	-1172	
279	279	-35	
280	280	-1466	
281	281	287	
282	282	2173	
283	283	2256	
284	284	1956	
285	285	2154	
286	286	1539	
287	287	-57	
288	288	418	
289	289	-250	
290	290	979	
291	291	1965	
292	292	1153	
293	293	-588	
294	294	-1493	
295	295	-836	
296	296	-729	
297	297	-1074	
298	298	69	
299	299	94	
300	300	-218	
301	301	135	
302	302	-2635	
303	303	-3154	
304	304	-871	
305	305	-1068	
306	306	-324	
307	307	-565	
308	308	-638	
309	309	700	
310	310	-1505	
311	311	-2745	
312	312	-3123	
313	313	-3128	
314	314	-3141	
315	315	-2331	
316	316	-1256	
317	317	-701	
318	318	145	
319	319	-405	
320	320	953	
321	321	1518	
322	322	1891	
323	323	1975	
324	324	1046	
325	325	1846	
326	326	772	
327	327	867	
328	328	1844	
329	329	1502	
330	330	-749	
331	331	-1771	
332	332	-909	
333	333	336	
334	334	2182	
335	335	3745	
336	336	3220	
337	337	2929	
338	338	3118	
339	339	940	
340	340	1537	
341	341	136	
342	342	-1082	
343	343	-2520	
344	344	-4214	
345	345	-2826	
346	346	-692	
347	347	-999	
348	348	194	
349	349	615	
350	350	-650	
351	351	-270	
352	352	-762	
353	353	-1841	
354	354	-853	
355	355	-660	
356	356	-2298	
357	357	-221	
358	358	1960	
359	359	1190	
360	360	-175	
361	361	-187	
362	362	-354	
363	363	-627	
364	364	-182	
365	365	86	
366	366	335	
367	367	1904	
368	368	961	
369	369	1918	
370	370	1128	
371	371	465	
372	372	376	
373	373	-386	
374	374	1085	
375	375	-547	
376	376	-399	
377	377	-17	
378	378	-1509	
379	379	-2938	
380	380	-1064	
381	381	274	
382	382	475	
383	383	-1938	
384	384	-3287	
385	385	-2849	
386	386	-2520	
387	387	-2512	
388	388	-1952	
389	389	53	
390	390	505	
391	391	-373	
392	392	1896	
393	393	3006	
394	394	1072	
395	395	2555	
396	396	3854	
397	397	3852	
398	398	2770	
399	399	1118	
400	400	-298	
401	401	-2455	
402	402	562	
403	403	389	
404	404	-1826	
405	405	-2461	
406	406	-2315	
407	407	928	
408	408	-1121	
409	409	-2402	
410	410	-1918	
411	411	-2231	
412	412	-69	
413	413	1732	
414	414	2951	
415	415	1462	
416	416	2248	
417	417	4093	
418	418	2227	
419	419	2011	
420	420	2817	
421	421	1840	
422	422	615	
423	423	176	
424	424	-655	
425	425	-2385	
426	426	-4245	
427	427	-2723	
428	428	-884	
429	429	29	
430	430	-1408	
431	431	-2508	
432	432	-1352	
433	433	-1272	
434	434	-1985	
435	435	-506	
436	436	-130	
437	437	-988	
438	438	-9	
439	439	-991	
440	440	649	
441	441	279	
442	442	1275	
443	443	2026	
444	444	1068	
445	445	1547	
446	446	733	
447	447	525	
448	448	99	
449	449	-1061	
450	450	-1320	
451	451	1222	
452	452	2162	
453	453	170	
454	454	-35	
455	455	707	
456	456	-1104	
457	457	-1274	
458	458	-908	
459	459	-1565	
460	460	-1119	
461	461	333	
462	462	-319	
463	463	1021	
464	464	1273	
465	465	-1510	
466	466	-2746	
467	467	-2868	
468	468	-3160	
469	469	-1596	
470	470	-1911	
471	471	-1126	
472	472	516	
473	473	179	
474	474	2560	
475	475	3780	
476	476	4109	
477	477	3631	
478	478	1703	
479	479	-761	
480	480	-384	
481	481	719	
482	482	702	
483	483	158	
484	484	874	
485	485	644	
486	486	414	
487	487	1533	
488	488	1529	
489	489	2351	
490	490	1425	
491	491	1268	
492	492	1476	
493	493	1094	
494	494	875	
495	495	-424	
496	496	-965	
497	497	-2051	
498	498	-3239	
499	499	-4327	
500	500	-2271	
501	501	-1418	
502	502	-1915	
503	503	-497	
504	504	-585	
505	505	789	
506	506	-300	
507	507	-3158	
508	508	-1967	
509	509	-1496	
510	510	-1418	
511	511	20	
512	512	-252	
513	513	-153	
514	514	399	
515	515	-798	
516	516	-2158	
517	517	-1660	
518	518	-61	
519	519	1138	
520	520	612	
521	521	632	
522	522	34	
523	523	-582	
524	524	779	
525	525	217	
526	526	1161	
527	527	2549	
528	528	3364	
529	529	1364	
530	530	1355	
531	531	168	
532	532	-995	
533	533	-769	
534	534	-1076	
535	535	410	
536	536	1090	
537	537	1794	
538	538	581	
539	539	-361	
540	540	-53	
541	541	-453	
542	542	-1896	
543	543	-633	
544	544	-575	
545	545	-561	
546	546	-616	
547	547	603	
548	548	-226	
549	549	-2214	
550	550	-1953	
551	551	-2533	
552	552	-1995	
553	553	-532	
554	554	-1064	
555	555	-820	
556	556	-130	
557	557	-516	
558	558	127	
559	559	-885	
560	560	342	
561	561	211	
562	562	-790	
563	563	-1198	
564	564	-2571	
565	565	-2943	
566	566	-751	
567	567	-942	
568	568	-698	
569	569	-352	
570	570	181	
571	571	-919	
572	572	-1398	
573	573	-167	
574	574	-1369	
575	575	-1403	
576	576	-338	
577	577	911	
578	578	1428	
579	579	1597	
580	580	233	
581	581	1628	
582	582	2786	
583	583	3963	
584	584	4351	
585	585	2197	
586	586	3777	
587	587	5680	
588	588	3592	
589	589	1220	
590	590	585	
591	591	406	
592	592	-587	
593	593	-429	
594	594	-804	
595	595	-794	
596	596	-1768	
597	597	-2422	
598	598	337	
599	599	257	
600	600	-1275	
601	601	-858	
602	602	-1075	
603	603	-2304	
604	604	-1336	
605	605	-963	
606	606	-2318	
607	607	-1103	
608	608	529	
609	609	-727	
610	610	-234	
611	611	-56	
612	612	632	
613	613	425	
614	614	1436	
615	615	1576	
616	616	-433	
617	617	798	
618	618	-1461	
619	619	-1125	
620	620	701	
621	621	425	
622	622	2007	
623	623	1511	
624	624	547	
625	625	-362	
626	626	-948	
627	627	116	
628	628	-1585	
629	629	-2559	
630	630	-814	
631	631	880	
632	632	1063	
633	633	-105	
634	634	-1136	
635	635	-1188	
636	636	115	
637	637	-771	
638	638	477	
639	639	2116	
640	640	2561	
641	641	2458	
642	642	1186	
643	643	-1134	
644	644	-2342	
645	645	-2831	
646	646	-2398	
647	647	-388	
648	648	-2103	
649	649	880	
650	650	2032	
651	651	1630	
652	652	2533	
653	653	2499	
654	654	3939	
655	655	2643	
656	656	1301	
657	657	772	
658	658	1190	
659	659	300	
660	660	1763	
661	661	1604	
662	662	-500	
663	663	-1641	
664	664	-2196	
665	665	-2594	
666	666	-2338	
667	667	-1109	
668	668	-1699	
669	669	-1293	
670	670	-1212	
671	671	-1384	
672	672	1140	
673	673	3523	
674	674	3302	
675	675	2017	
676	676	11	
677	677	-889	
678	678	-1483	
679	679	-1605	
680	680	-185	
681	681	-346	
682	682	-992	
683	683	-566	
684	684	350	
685	685	1055	
686	686	847	
687	687	-144	
688	688	-229	
689	689	785	
690	690	173	
691	691	-659	
692	692	-1119	
693	693	-2407	
694	694	-2398	
695	695	-1201	
696	696	1517	
697	697	3517	
698	698	2331	
699	699	1396	
700	700	972	
701	701	-273	
702	702	221	
703	703	34	
704	704	-1374	
705	705	-1671	
706	706	-2811	
707	707	-3492	
708	708	-2415	
709	709	-112	
710	710	-365	
711	711	433	
712	712	684	
713	713	-525	
714	714	-417	
715	715	1311	
716	716	2257	
717	717	1961	
718	718	2561	
719	719	2295	
720	720	4171	
721	721	1840	
722	722	1907	
723	723	2047	
724	724	-570	
725	725	-1142	
726	726	-3345	
727	727	-2868	
728	728	-1993	
729	729	-201	
730	730	1377	
731	731	2178	
732	732	1089	
733	733	1591	
734	734	1329	
735	735	-739	
736	736	-1226	
737	737	-820	
738	738	1133	
739	739	1579	
740	740	29	
741	741	-1747	
742	742	-389	
743	743	-655	
744	744	-1798	
745	745	-1557	
746	746	-1542	
747	747	580	
748	748	756	
749	749	1489	
750	750	1735	
751	751	-922	
752	752	202	
753	753	-954	
754	754	-1123	
755	755	1041	
756	756	231	
757	757	1114	
758	758	932	
759	759	734	
760	760	-310	
761	761	694	
762	762	1376	
763	763	-831	
764	764	-479	
765	765	-162	
766	766	-1520	
767	767	-1750	
768	768	-1245	
769	769	-2487	
770	770	-1623	
771	771	642	
772	772	-271	
773	773	-1789	
774	774	-908	
775	775	-1449	
776	776	-845	
777	777	-1214	
778	778	-879	
779	779	-795	
780	780	-2168	
781	781	-2130	
