Sample in Buffer	Sample in Window	ADC4_D
0	0	735	
1	1	1324	
2	2	620	
3	3	-923	
4	4	17	
5	5	-203	
6	6	-409	
7	7	-449	
8	8	-944	
9	9	-852	
10	10	155	
11	11	703	
12	12	-610	
13	13	-679	
14	14	-162	
15	15	100	
16	16	1045	
17	17	-250	
18	18	168	
19	19	-357	
20	20	-623	
21	21	-1035	
22	22	-1959	
23	23	-1813	
24	24	-479	
25	25	677	
26	26	1323	
27	27	1007	
28	28	-964	
29	29	-1017	
30	30	-2797	
31	31	-971	
32	32	-926	
33	33	327	
34	34	3637	
35	35	2889	
36	36	1305	
37	37	425	
38	38	1442	
39	39	1213	
40	40	865	
41	41	984	
42	42	892	
43	43	51	
44	44	-725	
45	45	1989	
46	46	2660	
47	47	1715	
48	48	773	
49	49	48	
50	50	-540	
51	51	-85	
52	52	-214	
53	53	-1531	
54	54	116	
55	55	1068	
56	56	-330	
57	57	2387	
58	58	2603	
59	59	-219	
60	60	-530	
61	61	-1546	
62	62	5	
63	63	-1770	
64	64	-1735	
65	65	-817	
66	66	-1175	
67	67	-141	
68	68	-1474	
69	69	-2460	
70	70	-1990	
71	71	-592	
72	72	-446	
73	73	-2321	
74	74	-3047	
75	75	-2355	
76	76	-1191	
77	77	732	
78	78	1366	
79	79	1272	
80	80	1609	
81	81	1684	
82	82	276	
83	83	1081	
84	84	1481	
85	85	-220	
86	86	-720	
87	87	-1565	
88	88	-2548	
89	89	-1294	
90	90	-1979	
91	91	-1809	
92	92	1017	
93	93	1673	
94	94	4023	
95	95	5496	
96	96	5344	
97	97	5905	
98	98	3311	
99	99	2196	
100	100	1516	
101	101	-770	
102	102	-1244	
103	103	-1988	
104	104	-2229	
105	105	-234	
106	106	-154	
107	107	-875	
108	108	410	
109	109	383	
110	110	689	
111	111	1843	
112	112	2643	
113	113	2006	
114	114	897	
115	115	-1364	
116	116	-2357	
117	117	-1046	
118	118	-469	
119	119	-1368	
120	120	-2443	
121	121	-2289	
122	122	-1091	
123	123	-1476	
124	124	-627	
125	125	-1828	
126	126	-1999	
127	127	-66	
128	128	-1721	
129	129	-2000	
130	130	-3126	
131	131	32	
132	132	1237	
133	133	-62	
134	134	2092	
135	135	1536	
136	136	-229	
137	137	669	
138	138	226	
139	139	-456	
140	140	-786	
141	141	-1334	
142	142	-671	
143	143	1490	
144	144	2680	
145	145	643	
146	146	619	
147	147	763	
148	148	515	
149	149	457	
150	150	1041	
151	151	1469	
152	152	-352	
153	153	-601	
154	154	785	
155	155	3476	
156	156	2534	
157	157	2293	
158	158	2141	
159	159	-576	
160	160	-761	
161	161	-2465	
162	162	-997	
163	163	-4	
164	164	992	
165	165	1165	
166	166	157	
167	167	-1020	
168	168	-1152	
169	169	-1251	
170	170	-1260	
171	171	-1008	
172	172	-1377	
173	173	372	
174	174	365	
175	175	349	
176	176	-524	
177	177	-926	
178	178	395	
179	179	524	
180	180	-128	
181	181	-472	
182	182	-540	
183	183	-622	
184	184	-328	
185	185	-191	
186	186	-1598	
187	187	-573	
188	188	-104	
189	189	-474	
190	190	237	
191	191	1608	
192	192	1366	
193	193	1025	
194	194	-501	
195	195	-845	
196	196	1457	
197	197	507	
198	198	758	
199	199	2782	
200	200	2484	
201	201	291	
202	202	469	
203	203	-210	
204	204	-1941	
205	205	-2395	
206	206	-1613	
207	207	-1180	
208	208	-1390	
209	209	-1096	
210	210	-2503	
211	211	-3734	
212	212	-2501	
213	213	-1167	
214	214	-685	
215	215	-1259	
216	216	-1807	
217	217	67	
218	218	1436	
219	219	1973	
220	220	1356	
221	221	3011	
222	222	1688	
223	223	1397	
224	224	926	
225	225	230	
226	226	445	
227	227	-623	
228	228	104	
229	229	-971	
230	230	-163	
231	231	-909	
